Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV		Conductivity		Gradient Concentration		System Flow		Pressure		Fraction		Run Log		
ml	mAU	ml	mS/cm	ml	%B	ml	ml/min	ml	MPa	ml	Fraction	ml	Logbook	
36.633	2000	36.633	17.26	36.633	0	36.633	3	36.633	0.07					
36.833	2000	36.833	17.26	36.833	0	36.833	3	36.833	0.08					
37.033	2000	37.033	17.26	37.033	0	37.033	3	37.033	0.07					
37.233	2000	37.233	17.27	37.233	0	37.233	3	37.233	0.07					
37.433	2000	37.433	17.27	37.433	0	37.433	3	37.433	0.08					
37.633	2000	37.633	17.27	37.633	0	37.633	3	37.633	0.08					
37.833	2000	37.833	17.27	37.833	0	37.833	3	37.833	0.08					
38.032	2000	38.032	17.27	38.032	0	38.032	3	38.032	0.07					
38.232	2000	38.232	17.27	38.232	0	38.232	3	38.232	0.07					
38.432	2000	38.432	17.27	38.432	0	38.432	3	38.432	0.07					
38.632	2000	38.632	17.27	38.632	0	38.632	3	38.632	0.08					
38.832	2000	38.832	17.26	38.832	0	38.832	3	38.832	0.07					
39.032	2000	39.032	17.26	39.032	0	39.032	3	39.032	0.07					
39.232	2000	39.232	17.26	39.232	0	39.232	3	39.232	0.07					
39.432	2000	39.432	17.26	39.432	0	39.432	3	39.432	0.08					
39.632	2000	39.632	17.26	39.632	0	39.632	3	39.632	0.07					
39.832	2000	39.832	17.27	39.832	0	39.832	3	39.832	0.07					
40.032	2000	40.032	17.27	40.032	0	40.032	3	40.032	0.07					
40.232	2000	40.232	17.27	40.232	0	40.232	3	40.232	0.08					
40.432	2000	40.432	17.27	40.432	0	40.432	3	40.432	0.08					
40.632	2000	40.632	17.27	40.632	0	40.632	3	40.632	0.08					
40.832	2000	40.832	17.27	40.832	0	40.832	3	40.832	0.08					
41.032	2000	41.032	17.27	41.032	0	41.032	3	41.032	0.07					
41.232	2000	41.232	17.27	41.232	0	41.232	3	41.232	0.08					
41.432	2000	41.432	17.27	41.432	0	41.432	3	41.432	0.08					
41.632	2000	41.632	17.27	41.632	0	41.632	3	41.632	0.08					
41.832	2000	41.832	17.27	41.832	0	41.832	3	41.832	0.08					
42.032	2000	42.032	17.27	42.032	0	42.032	3	42.032	0.08					
42.232	2000	42.232	17.27	42.232	0	42.232	3	42.232	0.07					
42.432	2000	42.432	17.27	42.432	0	42.432	3	42.432	0.08					
42.632	2000	42.632	17.27	42.632	0	42.632	3	42.632	0.08					
42.831	2000	42.831	17.27	42.831	0	42.831	3	42.831	0.07					
43.031	2000	43.031	17.27	43.031	0	43.031	3	43.031	0.08					
43.231	2000	43.231	17.26	43.231	0	43.231	3	43.231	0.07					
43.431	2000	43.431	17.26	43.431	0	43.431	3	43.431	0.08					
43.631	2000	43.631	17.26	43.631	0	43.631	3	43.631	0.08					
43.831	2000	43.831	17.26	43.831	0	43.831	3	43.831	0.07					
44.031	2000	44.031	17.26	44.031	0	44.031	3	44.031	0.08					
44.231	2000	44.231	17.26	44.231	0	44.231	3	44.231	0.07					
44.431	2000	44.431	17.26	44.431	0	44.431	3	44.431	0.07					
44.631	2000	44.631	17.26	44.631	0	44.631	3	44.631	0.07					
44.831	2000	44.831	17.26	44.831	0	44.831	3	44.831	0.08					
45.031	2000	45.031	17.26	45.031	0	45.031	3	45.031	0.07					
45.231	2000	45.231	17.26	45.231	0	45.231	3	45.231	0.08					
45.431	2000	45.431	17.26	45.431	0	45.431	3	45.431	0.08					
45.631	2000	45.631	17.26	45.631	0	45.631	3	45.631	0.08					
45.831	2000	45.831	17.26	45.831	0	45.831	3	45.831	0.08					
46.031	2000	46.031	17.26	46.031	0	46.031	3	46.031	0.08					
46.231	2000	46.231	17.26	46.231	0	46.231	3	46.231	0.08					
46.431	2000	46.431	17.27	46.431	0	46.431	3	46.431	0.08					
46.631	2000	46.631	17.27	46.631	0	46.631	3	46.631	0.08					
46.831	2000	46.831	17.27	46.831	0	46.831	3	46.831	0.08					
47.031	2000	47.031	17.27	47.031	0	47.031	3	47.031	0.08					
47.231	2000	47.231	17.27	47.231	0	47.231	3	47.231	0.08					
47.431	2000	47.431	17.27	47.431	0	47.431	3	47.431	0.07					
47.63	2000	47.63	17.27	47.63	0	47.63	3	47.63	0.08					
47.83	2000	47.83	17.27	47.83	0	47.83	3	47.83	0.08					
48.03	2000	48.03	17.26	48.03	0	48.03	3	48.03	0.08					
48.23	2000	48.23	17.26	48.23	0	48.23	3	48.23	0.07					
48.43	2000	48.43	17.26	48.43	0	48.43	3	48.43	0.07					
48.63	2000	48.63	17.26	48.63	0	48.63	3	48.63	0.08					
48.83	2000	48.83	17.26	48.83	0	48.83	3	48.83	0.08					
49.03	2000	49.03	17.26	49.03	0	49.03	3	49.03	0.08					
49.23	2000	49.23	17.26	49.23	0	49.23	3	49.23	0.08					
49.43	2000	49.43	17.26	49.43	0	49.43	3	49.43	0.07					
49.63	2000	49.63	17.25	49.63	0	49.63	3	49.63	0.07					
49.83	2000	49.83	17.25	49.83	0	49.83	3	49.83	0.08					
50.03	2000	50.03	17.25	50.03	0	50.03	3	50.03	0.08					
50.23	2000	50.23	17.25	50.23	0	50.23	3	50.23	0.07					
50.43	2000	50.43	17.25	50.43	0	50.43	3	50.43	0.08					
50.63	2000	50.63	17.25	50.63	0	50.63	3	50.63	0.08					
50.83	2000	50.83	17.25	50.83	0	50.83	3	50.83	0.08					
51.03	2000	51.03	17.25	51.03	0	51.03	3	51.03	0.08					
51.23	2000	51.23	17.25	51.23	0	51.23	3	51.23	0.08					
51.43	2000	51.43	17.26	51.43	0	51.43	3	51.43	0.08					
51.63	2000	51.63	17.25	51.63	0	51.63	3	51.63	0.08					
